Player,height,weight,college,born,birth_city,birth_state,Geo_code,Latitude,Longitude
Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma,"35.4675602, -97.5164276",35.4675602,-97.5164276
Carl Braun,196,81,Colgate University,1927,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Frankie Brian,185,81,Louisiana State University,1923,Zachary,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Bob Brown,193,92,Miami University,1923,Versailles,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Tommy Byrnes,190,79,Seton Hall University,1923,Teaneck,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Leroy Chollet,188,86,Canisius College,1925,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Bill Closs,196,88,Rice University,1922,Edge,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Dillard Crocker,193,92,Western Michigan University,1925,Coffee County,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Chink Crossin,185,74,University of Pennsylvania,1923,Luzerne,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Bob Davies*,185,79,Seton Hall University,1920,Harrisburg,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Arnie Ferrin,188,81,University of Utah,1925,Salt Lake City,Utah,"39.3209801, -111.0937311",39.3209801,-111.0937311
Jerry Fleishman,188,86,New York University,1922,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Vern Gardner,196,90,University of Utah,1925,Afton,Wyoming,"43.0759678, -107.2902839",43.0759678,-107.2902839
Bud Grant,190,88,University of Minnesota,1927,Superior,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Alex Hannum*,201,95,University of Southern California,1923,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
John Hargis,188,81,University of Texas at Austin,1920,Nacogdoches,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
